2026-04-12 17:43:32,255 INFO  __main__: config loaded: mode=paper
2026-04-12 17:43:32,264 INFO  satellite.schema: Satellite schema initialized
2026-04-12 17:43:32,265 INFO  hynous.intelligence.daemon: Satellite initialized: /Users/bauthoi/Documents/Hynous/storage/satellite.db
2026-04-12 17:43:32,886 INFO  satellite.training.artifact: Loaded model artifact v2 (trained on 50132 samples)
2026-04-12 17:43:33,601 INFO  hynous.intelligence.daemon: Satellite inference loaded: v2 (50132 samples, threshold 3.0%, shadow=True)
2026-04-12 17:43:33,605 INFO  satellite.training.condition_artifact: Loaded condition artifact: entry_quality v1 (spearman=0.054)
2026-04-12 17:43:33,606 INFO  satellite.training.condition_artifact: Loaded condition artifact: funding_4h v1 (spearman=0.000)
2026-04-12 17:43:33,608 INFO  satellite.training.condition_artifact: Loaded condition artifact: mae_long v1 (spearman=0.228)
2026-04-12 17:43:33,610 INFO  satellite.training.condition_artifact: Loaded condition artifact: mae_short v1 (spearman=0.272)
2026-04-12 17:43:33,612 INFO  satellite.training.condition_artifact: Loaded condition artifact: move_30m v1 (spearman=0.492)
2026-04-12 17:43:33,615 INFO  satellite.training.condition_artifact: Loaded condition artifact: range_30m v1 (spearman=0.551)
2026-04-12 17:43:33,616 INFO  satellite.training.condition_artifact: Loaded condition artifact: sl_survival_03 v1 (spearman=0.274)
2026-04-12 17:43:33,623 INFO  satellite.training.condition_artifact: Loaded condition artifact: sl_survival_05 v1 (spearman=0.201)
2026-04-12 17:43:33,626 INFO  satellite.training.condition_artifact: Loaded condition artifact: vol_1h v1 (spearman=0.620)
2026-04-12 17:43:33,628 INFO  satellite.training.condition_artifact: Loaded condition artifact: vol_4h v1 (spearman=0.663)
2026-04-12 17:43:33,631 INFO  satellite.training.condition_artifact: Loaded condition artifact: vol_expand v1 (spearman=0.355)
2026-04-12 17:43:33,633 INFO  satellite.training.condition_artifact: Loaded condition artifact: volume_1h v1 (spearman=0.317)
2026-04-12 17:43:33,633 INFO  satellite.conditions: ConditionEngine loaded 12 models: entry_quality, funding_4h, mae_long, mae_short, move_30m, range_30m, sl_survival_03, sl_survival_05, vol_1h, vol_4h, vol_expand, volume_1h
2026-04-12 17:43:33,633 INFO  hynous.intelligence.daemon: Loaded 12 condition models
2026-04-12 17:43:33,634 INFO  hynous.intelligence.daemon: Condition wake evaluator initialized
2026-04-12 17:43:33,638 INFO  satellite.tick_inference: Loaded tick model: direction_10s (10s horizon, sp=0.3263)
2026-04-12 17:43:33,640 INFO  satellite.tick_inference: Loaded tick model: direction_120s (120s horizon, sp=0.0800)
2026-04-12 17:43:33,643 INFO  satellite.tick_inference: Loaded tick model: direction_15s (15s horizon, sp=0.2676)
2026-04-12 17:43:33,645 INFO  satellite.tick_inference: Loaded tick model: direction_180s (180s horizon, sp=0.0829)
2026-04-12 17:43:33,647 INFO  satellite.tick_inference: Loaded tick model: direction_20s (20s horizon, sp=0.2306)
2026-04-12 17:43:33,650 INFO  satellite.tick_inference: Loaded tick model: direction_30s (30s horizon, sp=0.1879)
2026-04-12 17:43:33,652 INFO  satellite.tick_inference: Loaded tick model: direction_45s (45s horizon, sp=0.1328)
2026-04-12 17:43:33,655 INFO  satellite.tick_inference: Loaded tick model: direction_60s (60s horizon, sp=0.1148)
2026-04-12 17:43:33,655 INFO  satellite.tick_inference: TickInferenceEngine: 8 models loaded
